City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,semey,50.4111,80.2275,-17.88,85,100,1.0,KZ,1733712660
121,kapuskasing,49.4169,-82.4331,-14.95,92,75,2.57,CA,1733712661
122,vico del gargano,41.8983,15.9576,10.01,74,92,5.67,IT,1733712662
123,pandan,14.0453,124.1694,26.14,92,100,6.25,PH,1733712664
124,san luis de la loma,17.2706,-100.8939,25.06,78,100,2.81,MX,1733712665
125,enewetak,11.3474,162.3373,28.0,81,100,8.27,MH,1733712666
126,saipan,15.1355,145.701,31.39,70,40,4.12,MP,1733712667
127,manggar,-2.8833,108.2667,30.58,65,100,5.14,ID,1733712668
128,punta del este,-34.9667,-54.95,13.82,68,0,3.13,UY,1733712669
129,sodra sandby,56.5667,16.6167,4.94,83,99,8.7,SE,1733712670
130,al jawf,29.5,38.75,10.55,67,0,3.29,SA,1733712671
131,fale old settlement,-9.3852,-171.2468,25.54,82,100,1.76,TK,1733712673
132,mount gambier,-37.8333,140.7667,20.0,45,8,4.34,AU,1733712674
133,port lincoln,-34.7333,135.8667,20.07,61,65,4.53,AU,1733712675
134,twon-brass,4.3151,6.2418,27.56,77,100,4.45,NG,1733712488
135,bilibino,68.0546,166.4372,-28.44,85,48,1.11,RU,1733712677
136,nova sintra,14.8667,-24.7167,25.08,68,71,2.86,CV,1733712678
137,kununurra,-15.7667,128.7333,33.99,59,75,4.12,AU,1733712638
138,tafuna,-14.3358,-170.72,28.97,79,100,3.6,AS,1733712680
139,newman,37.3138,-121.0208,11.13,81,2,1.34,US,1733712681
140,anadyr,64.75,177.4833,-16.72,85,100,6.0,RU,1733712683
141,udachny,66.4167,112.4,-32.72,100,94,1.87,RU,1733712684
142,dunedin,-45.8742,170.5036,18.11,37,2,7.12,NZ,1733712685
143,lihue,21.9789,-159.3672,25.77,78,20,4.63,US,1733712551
144,sant antoni de portmany,38.9807,1.3036,13.99,51,20,8.23,ES,1733712687
145,olonkinbyen,70.9221,-8.7187,-0.49,97,100,9.45,SJ,1733712688
146,mhlume,-26.0333,31.85,22.73,92,91,0.62,SZ,1733712689
147,the pas,53.8251,-101.2541,-11.99,85,75,0.0,CA,1733712690
